park_id,name_en,latitude,longitude,district_en,height,remark_en
tdc35p1,Hing Wah II Estate Carpark,22.26326561,114.23344421,Eastern,0.0,"Height Limit: 
"
tdc6p21,Yue Wan Estate Car Park,22.26508713,114.2402191,Eastern,0.0,"Height Limit: 2.1 (Applicable to Private Cars/Vans)
"
tdc6p13,Kwai Chung Ph. 3 & 4,22.3679047,114.1286087,Kwai Tsing,0.0,"Height Limit: 
"
tdc6p14,Choi Hung Estate,22.3346329,114.2072296,Wong Tai Sin,0.0,"Height Limit: 
"
tdc6p15,Lei Yue Mun Estate,22.2946053,114.2401428,Kwun Tong,0.0,"Height Limit: 
"
tdc34p1,On Tat Estate Car park,22.3206501,114.23608398,Kwun Tong,0.0,"Height Limit: 2.4 (Applicable to Private Cars / Vans)        4.1 (Applicable to Container Vehicles)
"
tdc6p19,Hoi Lai Estate Car Park,22.33249474,114.1458664,Sham Shui Po,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
"
tdc14p5408,Un Chau Car Park,22.33754349,114.1556397,Sham Shui Po,0.0,"Height Limit: 2.4M
"
tdc6p18,Shui Chuen O Capark,22.3737011,114.19704437,Sha Tin,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
"
tdc6p20,Shek Pai Wan Estate Car Park,22.24921036,114.1585693,Southern,0.0,"Height Limit: 3.8 (Applicable to Private Cars/Vans)
"
tdc6p16,Lei Muk Shue Shopping Centre,22.378336,114.1361771,Tsuen Wan,0.0,"Height Limit: 
"
tdc6p17,Hung Fuk Estate Carpark,22.43649101,113.99769592,Yuen Long,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
24hr open"
tdc26p1,No.1 Lei Yue Mun Path Public Carpark,22.292694384,114.238817154,Kwun Tong,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
"
tdc26p2,Pioneer Centre Car Park,22.32224464,114.16905212,Yau Tsim Mong,0.0,"Height Limit: 2.1 M (Applicable to Private Cars/Vans)
86"
tdc14p8888,The Quayside Car Park,22.316532625,114.213428223,Kwun Tong,0.0,"Height Limit: 2.4( Private Cars)<br>3.6( Container Vehicles)
Private Vehicle Hourly Parking:<br>
-Mon - Fri (except PH): $25<br>
-Sat/Sun/PH: $16<br><br>

-Private Vehicle Day Park (8:00-20:00):<br>
-Mon - Fri (except PH): $160<br>
-Sat/Sun/PH: $60<br><br>

-Private Vehicle Night Park (18:00-8:00): $60<br><br>

Loading and Unloading (Lorry):<br>
-First 30 mins: $10<br>
-Per 30 mins thereafter: $30<br><br>

Loading Unloading (Motorcycle):<br>
-Grace period for first 30 mins<br>
-First 60 mins: $40<br>
-Per 30 mins thereafter: $30<br><br>

EV Charging:<br>
Ordinary 13A Charger : Free<br>
Quick Charge: $6 per 30 mins<br>
Super Charge: $38 per 30 mins"
tdc14p4259,Sha Kok Car Park 1,22.377772874,114.194143841,Sha Tin,0.0,"Height Limit: 
"
tdc14p4258,Sha Kok Car Park 2,22.378105999,114.193963002,Sha Tin,0.0,"Height Limit: 
"
tdc33p2,Jordan Valley Playground,22.32454109,114.21762848,Kwun Tong,0.0,"Height Limit: 2.45
(1) From 7:00 a.m. to 11:00 p.m.:

Private car, van-type light good vehicle, taxi and Motorcycle:

- For each half hour: $4 (Mon-Fri) and $9 (Sat, Sun & Holidays)

- Every half hour thereafter: $6 (Mon-Fri) and $13.5 (Sat, Sun, PH)



(2) From 11:00 p.m. until before 7:00 a.m. of the following day:

- For each half hour: $0.5 (Mon-Fri, and Sat, Sun & Holidays)
"
tdc33p1,Kowloon Bay Park,22.32723236,114.20716095,Kwun Tong,0.0,"Height Limit: 2.45
1) Day Parking: First 2 hours: $5/ Half-hr., after 2 hours: $7.5/Half-hr., from 0700-2300; $0.5/Half-hr. from 2300-0700

"
tdc32p5,Shui Pin Wai Estate,22.44555283,114.0200043,Yuen Long,0.0,"Height Limit: 2.9
"
tdc32p6,Mei Tin Estate,22.37602425,114.1718216,Sha Tin,0.0,"Height Limit: 2.4
"
tdc6p22,So Uk Estate Car Park (Phase 2),22.34108161,114.1565667,Sham Shui Po,0.0,"Height Limit: 2.4 (Applicable to Private Cars/Vans)
24 hours operations "
tdc32p1,Wah Fu (I) Estate,22.24977875,114.1370239,Southern,0.0,"Height Limit: 2
"
tdc32p2,Wah Fu (II) Estate,22.25193596,114.137207,Southern,0.0,"Height Limit: 1.8
"
