STAT_VAR,STAT_PRES,CCYY,DC,Sex,Age,OBS_VALUE,SD_VALUE
PP,Raw_per_n,2020,K,M,35 - 44,18300,
PP,Raw_per_n,2020,K,M,45 - 54,20500,
PP,Raw_per_n,2020,K,M,55 - 64,25800,
PP,Raw_per_n,2020,K,M,>= 65,25300,
PP,Raw_per_n,2020,K,F,0 - 14,16800,
PP,Raw_per_n,2020,K,F,15 - 24,13300,
PP,Raw_per_n,2020,K,F,25 - 34,24100,
PP,Raw_per_n,2020,K,F,35 - 44,30000,
PP,Raw_per_n,2020,K,F,45 - 54,28700,
PP,Raw_per_n,2020,K,F,55 - 64,27600,
PP,Raw_per_n,2020,K,F,>= 65,27000,
PP,Raw_per_n,2020,L,M,0 - 14,29100,
PP,Raw_per_n,2020,L,M,15 - 24,22500,
PP,Raw_per_n,2020,L,M,25 - 34,30200,
PP,Raw_per_n,2020,L,M,35 - 44,31000,
PP,Raw_per_n,2020,L,M,45 - 54,35000,
PP,Raw_per_n,2020,L,M,55 - 64,40500,
PP,Raw_per_n,2020,L,M,>= 65,41100,
PP,Raw_per_n,2020,L,F,0 - 14,28700,
PP,Raw_per_n,2020,L,F,15 - 24,22300,
PP,Raw_per_n,2020,L,F,25 - 34,34600,
PP,Raw_per_n,2020,L,F,35 - 44,47200,
PP,Raw_per_n,2020,L,F,45 - 54,46100,
PP,Raw_per_n,2020,L,F,55 - 64,42700,
PP,Raw_per_n,2020,L,F,>= 65,44100,
PP,Raw_per_n,2020,M,M,0 - 14,40400,
PP,Raw_per_n,2020,M,M,15 - 24,30100,
PP,Raw_per_n,2020,M,M,25 - 34,41700,
PP,Raw_per_n,2020,M,M,35 - 44,43300,
PP,Raw_per_n,2020,M,M,45 - 54,40700,
PP,Raw_per_n,2020,M,M,55 - 64,47900,
PP,Raw_per_n,2020,M,M,>= 65,52000,
PP,Raw_per_n,2020,M,F,0 - 14,37900,
PP,Raw_per_n,2020,M,F,15 - 24,28400,
PP,Raw_per_n,2020,M,F,25 - 34,49600,
PP,Raw_per_n,2020,M,F,35 - 44,66800,
PP,Raw_per_n,2020,M,F,45 - 54,54500,
PP,Raw_per_n,2020,M,F,55 - 64,51900,
PP,Raw_per_n,2020,M,F,>= 65,55500,
PP,Raw_per_n,2020,N,M,0 - 14,20300,
PP,Raw_per_n,2020,N,M,15 - 24,14500,
PP,Raw_per_n,2020,N,M,25 - 34,19300,
PP,Raw_per_n,2020,N,M,35 - 44,20600,
PP,Raw_per_n,2020,N,M,45 - 54,21000,
PP,Raw_per_n,2020,N,M,55 - 64,25700,
PP,Raw_per_n,2020,N,M,>= 65,25900,
PP,Raw_per_n,2020,N,F,0 - 14,19600,
